queue_ns,network_ns,total_ns
187,99073,99260
178,119131,119309
108,92636,92744
187,97255,97442
119,93854,93973
128,97766,97894
118,94366,94484
119,98090,98209
108,95437,95545
118,98827,98945
129,97775,97904
118,97806,97924
119,99594,99713
186,97816,98002
177,103515,103692
199,90454,90653
128,96577,96705
108,93884,93992
178,97284,97462
128,98975,99103
119,94994,95113
119,95574,95693
129,95151,95280
187,102365,102552
197,110571,110768
118,97491,97609
286,95034,95320
118,95329,95447
109,95594,95703
217,97166,97383
128,95063,95191
197,111328,111525
177,116223,116400
177,92468,92645
118,101314,101432
168,98748,98916
187,97137,97324
167,103239,103406
197,96960,97157
158,94287,94445
118,96233,96351
119,98237,98356
119,94680,94799
118,97904,98022
118,95800,95918
167,97206,97373
158,94179,94337
118,95338,95456
118,93904,94022
119,95426,95545
167,94376,94543
118,97717,97835
119,98208,98327
3382,95682,99064
128,98031,98159
118,96774,96892
118,100527,100645
108,98572,98680
109,95613,95722
118,95604,95722
118,94808,94926
128,98011,98139
118,93609,93727
118,98306,98424
128,95918,96046
187,99408,99595
177,94523,94700
128,98699,98827
108,94995,95103
128,98591,98719
109,92920,93029
177,97235,97412
119,94591,94710
138,100950,101088
187,97225,97412
148,93943,94091
128,95270,95398
119,99869,99988
108,94041,94149
118,97972,98090
178,56941,57119
177,93373,93550
2595,95043,97638
119,97608,97727
119,94709,94828
167,102189,102356
708,115712,116420
177,89000,89177
119,93009,93128
118,96508,96626
108,95004,95112
128,97304,97432
177,97088,97265
432,113068,113500
128,92115,92243
128,96725,96853
118,96862,96980
128,92390,92518
118,97127,97245
118,91958,92076
177,95899,96076
178,101667,101845
138,97068,97206
119,96006,96125
127,100783,100910
138,97382,97520
138,87663,87801
197,98051,98248
206,44441,44647
167,87014,87181
119,97579,97698
118,94533,94651
119,95525,95644
118,97177,97295
119,99761,99880
2723,101127,103850
187,98896,99083
187,97677,97864
119,97254,97373
128,94906,95034
119,97077,97196
118,95387,95505
118,96960,97078
119,95938,96057
